"invoiceno","stockcode","description","quantity","invoicedate","unitprice","customerid","country"
"536373","84029E",RED WOOLLY HOTTIE WHITE HEART.,6,"2010-12-01 09:02:00",3.39,"17850.0",United Kingdom
"536373","22752",SET 7 BABUSHKA NESTING BOXES,2,"2010-12-01 09:02:00",7.65,"17850.0",United Kingdom
"537019","37474","",-15,"2010-12-03 15:43:00",0.0,"",United Kingdom
"536373","21730",GLASS STAR FROSTED T-LIGHT HOLDER,6,"2010-12-01 09:02:00",4.25,"17850.0",United Kingdom
"536374","21258",VICTORIAN SEWING BOX LARGE,32,"2010-12-01 09:09:00",10.95,"15100.0",United Kingdom
"536375","85123A",WHITE HANGING HEART T-LIGHT HOLDER,6,"2010-12-01 09:32:00",2.55,"17850.0",United Kingdom
"536375","71053",WHITE METAL LANTERN,6,"2010-12-01 09:32:00",3.39,"17850.0",United Kingdom
"536375","84406B",CREAM CUPID HEARTS COAT HANGER,8,"2010-12-01 09:32:00",2.75,"17850.0",United Kingdom
"536375","20679",EDWARDIAN PARASOL RED,6,"2010-12-01 09:32:00",4.95,"17850.0",United Kingdom
"536375","37370",RETRO COFFEE MUGS ASSORTED,6,"2010-12-01 09:32:00",1.06,"17850.0",United Kingdom
"536375","21871",SAVE THE PLANET MUG,6,"2010-12-01 09:32:00",1.06,"17850.0",United Kingdom
"536375","21071",VINTAGE BILLBOARD DRINK ME MUG,6,"2010-12-01 09:32:00",1.06,"17850.0",United Kingdom
"536375","21068",VINTAGE BILLBOARD LOVE/HATE MUG,6,"2010-12-01 09:32:00",1.06,"17850.0",United Kingdom
"536375","82483",WOOD 2 DRAWER CABINET WHITE FINISH,2,"2010-12-01 09:32:00",4.95,"17850.0",United Kingdom
"536375","82486",WOOD S/3 CABINET ANT WHITE FINISH,4,"2010-12-01 09:32:00",6.95,"17850.0",United Kingdom
"536375","82482",WOODEN PICTURE FRAME WHITE FINISH,6,"2010-12-01 09:32:00",2.1,"17850.0",United Kingdom
"536375","82494L",WOODEN FRAME ANTIQUE WHITE ,6,"2010-12-01 09:32:00",2.55,"17850.0",United Kingdom
"536375","84029G",KNITTED UNION FLAG HOT WATER BOTTLE,6,"2010-12-01 09:32:00",3.39,"17850.0",United Kingdom
"536375","84029E",RED WOOLLY HOTTIE WHITE HEART.,6,"2010-12-01 09:32:00",3.39,"17850.0",United Kingdom
"536375","22752",SET 7 BABUSHKA NESTING BOXES,2,"2010-12-01 09:32:00",7.65,"17850.0",United Kingdom
"536375","21730",GLASS STAR FROSTED T-LIGHT HOLDER,6,"2010-12-01 09:32:00",4.25,"17850.0",United Kingdom
"536376","22114",HOT WATER BOTTLE TEA AND SYMPATHY,48,"2010-12-01 09:32:00",3.45,"15291.0",United Kingdom
"536376","21733",RED HANGING HEART T-LIGHT HOLDER,64,"2010-12-01 09:32:00",2.55,"15291.0",United Kingdom
"536377","22632",HAND WARMER RED POLKA DOT,6,"2010-12-01 09:34:00",1.85,"17850.0",United Kingdom
"536377","22633",HAND WARMER UNION JACK,6,"2010-12-01 09:34:00",1.85,"17850.0",United Kingdom
"536378","22386",JUMBO BAG PINK POLKADOT,10,"2010-12-01 09:37:00",1.95,"14688.0",United Kingdom
"536378","85099C",JUMBO  BAG BAROQUE BLACK WHITE,10,"2010-12-01 09:37:00",1.95,"14688.0",United Kingdom
"536378","21033",JUMBO BAG CHARLIE AND LOLA TOYS,10,"2010-12-01 09:37:00",2.95,"14688.0",United Kingdom
"536378","20723",STRAWBERRY CHARLOTTE BAG,10,"2010-12-01 09:37:00",0.85,"14688.0",United Kingdom
"536378","84997B",RED 3 PIECE RETROSPOT CUTLERY SET,12,"2010-12-01 09:37:00",3.75,"14688.0",United Kingdom
"536378","84997C",BLUE 3 PIECE POLKADOT CUTLERY SET,6,"2010-12-01 09:37:00",3.75,"14688.0",United Kingdom
"536378","21094",SET/6 RED SPOTTY PAPER PLATES,12,"2010-12-01 09:37:00",0.85,"14688.0",United Kingdom
"536378","20725",LUNCH BAG RED RETROSPOT,10,"2010-12-01 09:37:00",1.65,"14688.0",United Kingdom
"536378","21559",STRAWBERRY LUNCH BOX WITH CUTLERY,6,"2010-12-01 09:37:00",2.55,"14688.0",United Kingdom
"536378","22352",LUNCH BOX WITH CUTLERY RETROSPOT ,6,"2010-12-01 09:37:00",2.55,"14688.0",United Kingdom
"536378","21212",PACK OF 72 RETROSPOT CAKE CASES,120,"2010-12-01 09:37:00",0.42,"14688.0",United Kingdom
"536378","21975",PACK OF 60 DINOSAUR CAKE CASES,24,"2010-12-01 09:37:00",0.55,"14688.0",United Kingdom
"536378","21977",PACK OF 60 PINK PAISLEY CAKE CASES,24,"2010-12-01 09:37:00",0.55,"14688.0",United Kingdom
